repo_id,instruction_file,n_references,n_valid,n_stale,n_stale_doc,n_stale_all,n_primary_stale,n_ambiguous,n_unresolved,n_unknown_command,stale_rate,stale_rate_all,n_existed_before,n_never_existed,n_history_unknown,n_cat_existed_before_reference,n_cat_never_existed_reference,n_cat_stale_directory,n_cat_stale_path,n_cat_unresolved_reference,n_cat_stale_doc_reference,n_cat_stale_config
cheat/cheat,CLAUDE.md,39,29,9,0,9,9,0,1,0,0.23076923076923078,0.23076923076923078,2,8,0,2.0,8.0,1.0,8.0,1.0,,
cheat/cheat,__repo_total__,39,29,9,0,9,9,0,1,0,0.23076923076923078,0.23076923076923078,2,8,0,2.0,8.0,1.0,8.0,1.0,,
electron/electron,CLAUDE.md,65,18,45,0,45,45,0,1,1,0.6923076923076923,0.6923076923076923,1,45,0,1.0,45.0,9.0,36.0,1.0,,
electron/electron,docs/CLAUDE.md,21,11,7,3,10,7,0,0,0,0.3333333333333333,0.47619047619047616,1,9,0,1.0,9.0,,7.0,,3.0,
electron/electron,__repo_total__,86,29,52,3,55,52,0,1,1,0.6046511627906976,0.6395348837209303,2,54,0,2.0,54.0,9.0,43.0,1.0,3.0,
dagster-io/dagster,CLAUDE.md,48,36,12,0,12,12,0,0,0,0.25,0.25,2,10,0,2.0,10.0,5.0,6.0,,,1.0
dagster-io/dagster,docs/CLAUDE.md,10,6,4,0,4,4,0,0,0,0.4,0.4,0,4,0,,4.0,3.0,1.0,,,
dagster-io/dagster,__repo_total__,58,42,16,0,16,16,0,0,0,0.27586206896551724,0.27586206896551724,2,14,0,2.0,14.0,8.0,7.0,,,1.0
apache/airflow,CLAUDE.md,189,96,88,5,93,88,0,0,0,0.4656084656084656,0.49206349206349204,11,82,0,11.0,82.0,35.0,53.0,,5.0,
apache/airflow,airflow-core/src/airflow/_shared/AGENTS.md,2,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,,,,,,,
apache/airflow,__repo_total__,191,98,88,5,93,88,0,0,0,0.4607329842931937,0.4869109947643979,11,82,0,11.0,82.0,35.0,53.0,,5.0,
BerriAI/litellm,CLAUDE.md,29,12,17,0,17,17,0,0,0,0.5862068965517241,0.5862068965517241,1,16,0,1.0,16.0,4.0,13.0,,,
BerriAI/litellm,litellm/proxy/_experimental/mcp_server/CLAUDE.md,3,0,3,0,3,3,0,0,0,1.0,1.0,0,3,0,,3.0,2.0,1.0,,,
BerriAI/litellm,__repo_total__,32,12,20,0,20,20,0,0,0,0.625,0.625,1,19,0,1.0,19.0,6.0,14.0,,,
payloadcms/payload,CLAUDE.md,94,38,56,0,56,56,0,0,0,0.5957446808510638,0.5957446808510638,17,39,0,17.0,39.0,10.0,46.0,,,
payloadcms/payload,packages/codemod/CLAUDE.md,8,3,5,0,5,5,0,0,0,0.625,0.625,0,5,0,,5.0,,5.0,,,
payloadcms/payload,__repo_total__,102,41,61,0,61,61,0,0,0,0.5980392156862745,0.5980392156862745,17,44,0,17.0,44.0,10.0,51.0,,,
prefecthq/prefect,AGENTS.md,66,45,21,0,21,21,0,0,0,0.3181818181818182,0.3181818181818182,1,20,0,1.0,20.0,10.0,11.0,,,
prefecthq/prefect,docs/AGENTS.md,49,30,17,1,18,17,0,0,1,0.3469387755102041,0.3673469387755102,0,18,0,,18.0,7.0,10.0,,1.0,
prefecthq/prefect,__repo_total__,115,75,38,1,39,38,0,0,1,0.33043478260869563,0.3391304347826087,1,38,0,1.0,38.0,17.0,21.0,,1.0,
grafana/grafana,CLAUDE.md,106,72,34,0,34,34,0,0,0,0.32075471698113206,0.32075471698113206,2,32,0,2.0,32.0,11.0,23.0,,,
grafana/grafana,docs/AGENTS.md,7,3,4,0,4,4,0,0,0,0.5714285714285714,0.5714285714285714,0,4,0,,4.0,1.0,3.0,,,
grafana/grafana,__repo_total__,113,75,38,0,38,38,0,0,0,0.336283185840708,0.336283185840708,2,36,0,2.0,36.0,12.0,26.0,,,
