spectrum_group,family_id,family_label,n_repo_rows,n_repos,median_update_frequency_per_year,mean_update_frequency_per_year,n_update_frequency_per_year,median_co_change_rate,mean_co_change_rate,n_co_change_rate,median_sync_7,mean_sync_7,n_sync_7,median_sync_30,mean_sync_30,n_sync_30,median_median_update_lag_days_30,mean_median_update_lag_days_30,n_median_update_lag_days_30,median_lifecycle_persistence_rate,mean_lifecycle_persistence_rate,n_lifecycle_persistence_rate
configuration,github_workflows,GitHub Actions workflows,5,5,0.6127,0.52998,5,0.00018242848803269119,0.00023013303971801576,5,0.011310566258026853,0.011940539465382318,5,0.05465116279069768,0.042954254676143416,5,13.802534722222223,14.56257175925926,5,1.0,1.0,1
configuration,go_mod,go.mod,6,6,2.24155,20.41228333333333,6,0.0018604615626554672,0.011924860991148265,6,0.06288951442817507,0.1656143356439586,6,0.18382645508544032,0.24061364947074546,6,10.687065972222221,9.29075424382716,6,1.0,0.6,5
configuration,package_json,package.json,20,20,30.0062,106.821605,20,0.016717641390989517,0.04058435062300021,20,0.3444712166817522,0.4234455448477383,20,0.6152894283976367,0.613474609254743,20,5.513237847222222,6.34381105324074,20,1.0,1.0,12
configuration,pyproject_toml,pyproject.toml,13,13,84.9302,137.27184615384616,13,0.016725559481743226,0.0314618238914536,13,0.5813896390866683,0.5697185944876235,13,0.6800883869383747,0.6960363683601256,13,1.3222800925925926,3.4511204594017095,13,1.0,1.0,11
documentation,contributing,CONTRIBUTING.md,22,22,4.7017,14.29963636363636,22,0.0014102345025540687,0.005155542856732855,22,0.06685574085816126,0.20617300715043613,22,0.22105355496778317,0.3768014152003946,22,10.830630787037038,9.65283538510101,22,1.0,0.75,12
documentation,docs_index,docs index page,13,13,2.9911,5.503746153846155,13,0.0003602700458952711,0.00240923924241547,13,0.048871414921445464,0.07228891615493517,13,0.16618493206191415,0.18525157854002228,13,11.171435185185185,9.037578347578348,13,0.5,0.5,4
documentation,readme,README.md,25,25,70.1247,153.89605999999998,25,0.01140215716486903,0.05758665688450248,25,0.6545017423485238,0.5652649560499274,25,0.9199518507372856,0.7401849386434841,25,3.7268171296296297,4.882539351851852,25,1.0,0.6842105263157895,19
instructions,agents_md,AGENTS.md,18,18,3.14675,17.93812222222222,18,0.0006751235357253156,0.0038737620004173495,18,0.04754410585404972,0.18472062487177035,18,0.1299314018253171,0.2772054528973567,18,9.718457754629629,9.447883230452675,18,1.0,1.0,8
instructions,claude_md,CLAUDE.md,16,16,1.8062500000000001,12.571625,16,0.0006807560593949248,0.008154535026427759,16,0.023513180028981697,0.14047060314488374,16,0.04882281881419738,0.23535240409135855,16,9.205127314814815,8.795660445601852,16,1.0,0.6,5
instructions,cursor_rules,Cursor rules,2,2,0.2453,0.2453,2,0.00012725447671024586,0.00012725447671024586,2,0.005640285810287948,0.005640285810287948,2,0.019927660740710573,0.019927660740710573,2,14.547609953703702,14.547609953703702,2,0.0,0.0,1
